10,"[10, 102["
11,"[10, 102["
12,"[10, 102["
13,"[10, 102["
14,"[10, 102["
15,"[10, 102["
16,"[10, 102["
17,"[10, 102["
18,"[10, 102["
19,"[10, 102["
20,"[10, 102["
21,"[10, 102["
22,"[10, 102["
23,"[10, 102["
24,"[10, 102["
25,"[10, 102["
26,"[10, 102["
27,"[10, 102["
28,"[10, 102["
29,"[10, 102["
30,"[10, 102["
31,"[10, 102["
32,"[10, 102["
33,"[10, 102["
34,"[10, 102["
35,"[10, 102["
36,"[10, 102["
37,"[10, 102["
38,"[10, 102["
39,"[10, 102["
40,"[10, 102["
41,"[10, 102["
42,"[10, 102["
43,"[10, 102["
44,"[10, 102["
45,"[10, 102["
46,"[10, 102["
47,"[10, 102["
48,"[10, 102["
49,"[10, 102["
50,"[10, 102["
51,"[10, 102["
52,"[10, 102["
53,"[10, 102["
54,"[10, 102["
55,"[10, 102["
56,"[10, 102["
57,"[10, 102["
58,"[10, 102["
59,"[10, 102["
60,"[10, 102["
61,"[10, 102["
62,"[10, 102["
63,"[10, 102["
64,"[10, 102["
65,"[10, 102["
66,"[10, 102["
67,"[10, 102["
68,"[10, 102["
69,"[10, 102["
70,"[10, 102["
71,"[10, 102["
72,"[10, 102["
73,"[10, 102["
74,"[10, 102["
75,"[10, 102["
76,"[10, 102["
77,"[10, 102["
78,"[10, 102["
79,"[10, 102["
80,"[10, 102["
81,"[10, 102["
82,"[10, 102["
83,"[10, 102["
84,"[10, 102["
85,"[10, 102["
86,"[10, 102["
87,"[10, 102["
88,"[10, 102["
89,"[10, 102["
90,"[10, 102["
91,"[10, 102["
92,"[10, 102["
93,"[10, 102["
94,"[10, 102["
95,"[10, 102["
96,"[10, 102["
97,"[10, 102["
98,"[10, 102["
99,"[10, 102["
100,"[10, 102["
101,"[10, 102["
